make,model,price,fuel,transmission,trim,drivetrain,car_age
Hyundai,IONIQ 5,52905.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
Ford,Mustang Mach-E,46920.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,1
Chevrolet,Silverado 1500,65175.0,Diesel,Automatic,LT Trail Boss,Four-wheel Drive,1
Nissan,Versa,20389.0,Gasoline,Automatic CVT,1.6 SR,Front-wheel Drive,1
Mazda,CX-90 PHEV,50599.0,PHEV Hybrid Fuel,Automatic,Preferred,All-wheel Drive,1
Ford,Mustang Mach-E,46935.0,Electric,1-Speed Automatic,GT,All-wheel Drive,2
Hyundai,Santa Fe,38100.0,Gasoline,Automatic,SE 2.4,All-wheel Drive,1
Kia,Sportage,31190.0,Gasoline,8-Speed Automatic,EX,Front-wheel Drive,1
Jeep,Wrangler 4xe,50755.0,Hybrid,8-Speed Automatic,Sport,Four-wheel Drive,1
Hyundai,IONIQ 5,42201.0,Electric,Automatic,SEL,Rear-wheel Drive,1
Hyundai,Tucson Hybrid,35404.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Hyundai,Tucson Hybrid,35656.0,Hybrid,6-Speed Automatic,N Line,All-wheel Drive,1
Jeep,Compass,32660.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Hyundai,IONIQ 6,50850.0,Electric,Automatic,SE,All-wheel Drive,1
Jeep,Wrangler 4xe,61860.0,Hybrid,8-Speed Automatic,Rubicon,Four-wheel Drive,1
Volkswagen,Taos,25895.0,Gasoline,4-Speed Automatic,1.5T S,All-wheel Drive,1
Nissan,Kicks,26600.0,Gasoline,CVT,SR,Front-wheel Drive,1
BMW,i5,91825.0,Electric,1-Speed Automatic,M60,All-wheel Drive,1
Hyundai,Santa Cruz,37325.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Jeep,Grand Cherokee,52642.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Compass,40235.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Hyundai,Santa Cruz,42064.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Hyundai,Tucson Hybrid,39832.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Jeep,Wagoneer,65928.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Dodge,Hornet,41036.0,Gasoline,6-Speed Automatic,R/T EAWD,All-wheel Drive,1
Volkswagen,Taos,33331.0,Gasoline,4-Speed Automatic,1.5T SEL,All-wheel Drive,1
Dodge,Hornet,51835.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Hyundai,IONIQ 5,42466.0,Electric,1-Speed Automatic,SE,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Grand Cherokee L,54209.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
RAM,3500,86505.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Dodge,Hornet,48595.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Mazda,MX-5 Miata RF,38040.0,Gasoline,6-Speed Automatic,Grand Touring,Rear-wheel Drive,2
Acura,MDX,52950.0,Gasoline,1-Speed Automatic,Base,All-wheel Drive,1
Jeep,Grand Cherokee L,52567.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Wagoneer,87488.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Hyundai,IONIQ 5,43904.0,Electric,1-Speed Automatic,SE,All-wheel Drive,1
Chevrolet,Blazer EV,55090.0,Electric,1-Speed Automatic,RS,All-wheel Drive,1
Mercedes-Benz,EQS 450,110395.0,Electric,Automatic,Base 4MATIC,All-wheel Drive,1
Jeep,Grand Cherokee,44737.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Volkswagen,ID.4,41693.0,Electric,2-Speed Automatic,Standard,Rear-wheel Drive,1
Hyundai,Santa Cruz,41995.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Honda,CR-V,38855.0,Hybrid,Automatic,Hybrid Sport-L,Front-wheel Drive,1
Jeep,Grand Cherokee 4xe,58909.0,Gasoline,Automatic,Trailhawk,Four-wheel Drive,1
RAM,2500,65350.0,Gasoline,8-Speed Automatic,Big Horn,Four-wheel Drive,1
Jeep,Grand Cherokee L,49411.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Jeep,Wagoneer,72908.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Jeep,Compass,37105.0,Gasoline,8-Speed Automatic,Trailhawk,Four-wheel Drive,2
Dodge,Hornet,50590.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Chevrolet,Silverado 2500,70190.0,Diesel,Automatic,LT,Four-wheel Drive,1
Chevrolet,Equinox,25515.0,Gasoline,6-Speed Automatic,LS,Front-wheel Drive,1
Jeep,Wrangler,59542.0,Gasoline,Automatic,Rubicon,Four-wheel Drive,1
RAM,ProMaster 2500,53445.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,1
RAM,2500,79675.0,Diesel,6-Speed Automatic,Laramie,Four-wheel Drive,1
GMC,Sierra 3500,87075.0,Diesel (B20 capable),1-Speed Automatic,SLT,Four-wheel Drive,1
Ford,Escape,34799.0,Gasoline,8-Speed Automatic,Active,All-wheel Drive,1
RAM,2500,67125.0,Diesel,6-Speed Automatic,Laramie,Four-wheel Drive,1
Jeep,Grand Cherokee L,46721.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Kia,EV6,43348.0,Electric,Automatic,Wind,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,56119.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Volkswagen,Taos,28193.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Mazda,CX-90 PHEV,58949.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Subaru,Legacy,31042.0,Gasoline,Automatic CVT,Premium,All-wheel Drive,1
Dodge,Hornet,34000.0,Gasoline,9-Speed Automatic,GT AWD,All-wheel Drive,1
Mazda,CX-90 PHEV,54449.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Ford,F-350,77885.0,Gasoline,1-Speed Automatic,Lariat Super Duty,Four-wheel Drive,1
Jeep,Compass,31535.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Mazda,CX-90 PHEV,50349.0,PHEV Hybrid Fuel,Automatic,Preferred,All-wheel Drive,1
Acura,MDX,56345.0,Gasoline,1-Speed Automatic,Technology,Front-wheel Drive,1
BMW,i4 Gran Coupe,73670.0,Electric,1-Speed Automatic,M50,All-wheel Drive,1
Mazda,CX-90 PHEV,50675.0,Hybrid,8-Speed Automatic,Preferred,All-wheel Drive,1
RAM,3500,64516.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Dodge,Hornet,36480.0,Gasoline,Automatic,GT,All-wheel Drive,1
Audi,Q8 e-tron,89780.0,Electric,Automatic,Premium,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
BMW,i7,110445.0,Electric,1-Speed Automatic,eDrive50,Rear-wheel Drive,1
Volkswagen,Jetta,26104.0,Gasoline,8-Speed Automatic,1.4T SE,Front-wheel Drive,1
