make,model,price,fuel,transmission,trim,drivetrain,car_age
Nissan,Murano,46510.0,Gasoline,Automatic CVT,SL,All-wheel Drive,1
Hyundai,Tucson Hybrid,40933.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
BMW,X3,49395.0,Gasoline,8-Speed Automatic,sDrive30i,Rear-wheel Drive,1
Jeep,Compass,28265.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
RAM,2500,53750.0,Gasoline,Automatic,Tradesman Regular Cab 4x4 8&#39; Box,Four-wheel Drive,1
Subaru,Outback,39822.0,Gasoline,Automatic CVT,Limited,All-wheel Drive,1
Jeep,Wagoneer L,88135.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Ford,Escape,30798.0,Gasoline,Automatic,ST-Line,Front-wheel Drive,1
Volvo,C40 Recharge Pure Electric,62240.0,Electric,Automatic,Twin Ultimate,All-wheel Drive,2
Jeep,Compass,38300.0,Gasoline,Automatic,Trailhawk,Four-wheel Drive,2
Volkswagen,Taos,25311.0,Gasoline,4-Speed Automatic,1.5T S,All-wheel Drive,1
Jeep,Grand Cherokee L,49201.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Volkswagen,Taos,29386.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Jeep,Wagoneer L,72835.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,2
Volkswagen,Taos,28994.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Dodge,Hornet,49895.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Hyundai,Tucson Hybrid,36280.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Ford,Expedition,80374.0,Gasoline,1-Speed Automatic,Limited,Four-wheel Drive,1
RAM,ProMaster 1500,51380.0,Gasoline,9-Speed Automatic,Low Roof,Front-wheel Drive,1
Dodge,Hornet,52180.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Volkswagen,Taos,28998.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Nissan,Kicks,24979.0,Gasoline,CVT with Xtronic,SV,Front-wheel Drive,1
Hyundai,IONIQ 5,38201.0,Electric,Automatic,SE,Rear-wheel Drive,1
RAM,ProMaster 2500,50245.0,Gasoline,Automatic,High Roof,Front-wheel Drive,2
Kia,EV6,41528.0,Electric,Automatic,Wind,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,49082.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Subaru,Impreza,32098.0,Gasoline,Automatic CVT,RS,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,53791.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Jeep,Grand Cherokee L,49139.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Ford,Expedition,72135.0,Gasoline,1-Speed Automatic,XLT,Four-wheel Drive,1
Honda,CR-V,37965.0,Gasoline,Automatic CVT,EX-L,All-wheel Drive,1
Kia,Soul,21000.0,Gasoline,Automatic,S,Front-wheel Drive,1
Hyundai,Tucson Hybrid,37335.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Kia,Sportage,33785.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Chrysler,300,35994.0,Gasoline,8-Speed Automatic,Touring L,Rear-wheel Drive,2
GMC,Sierra 2500,48268.0,Gasoline,1-Speed Automatic,Pro,Rear-wheel Drive,1
Dodge,Hornet,45141.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Volkswagen,Taos,28098.0,Gasoline,7-Speed Automatic,1.5T S,All-wheel Drive,1
Nissan,Kicks,24430.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Nissan,Kicks,24430.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Nissan,Kicks,25080.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Mercedes-Benz,AMG C 43,73960.0,Gasoline,9-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Jeep,Grand Cherokee L,46659.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Dodge,Hornet,43490.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Dodge,Durango,47280.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
RAM,3500,80927.0,Diesel,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Chevrolet,Equinox,33977.0,Gasoline,6-Speed Automatic,1LT,All-wheel Drive,1
Kia,Sportage,35795.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Ford,Maverick,36550.0,Gasoline,8-Speed Automatic,XLT,All-wheel Drive,1
Hyundai,Tucson Hybrid,37805.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Jeep,Wagoneer,74625.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Kia,Sportage,35400.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Dodge,Hornet,43613.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Jeep,Grand Cherokee L,49836.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Hyundai,Kona,27555.0,Gasoline,Automatic CVT,SE,All-wheel Drive,1
Ford,Escape,29305.0,Gasoline,8-Speed Automatic,Active,Front-wheel Drive,1
Ford,Edge,40015.0,Gasoline,8-Speed Automatic,SE,All-wheel Drive,1
Kia,Sportage,35195.0,Gasoline,8-Speed Automatic,SX-Prestige,Front-wheel Drive,1
Kia,EV6,43439.0,Electric,Automatic,Wind,All-wheel Drive,1
Ford,Bronco Sport,35615.0,Gasoline,8-Speed Automatic,Outer Banks,Four-wheel Drive,1
Kia,Forte,21070.0,Gasoline,Automatic CVT,LXS,Front-wheel Drive,1
Nissan,Versa,20842.0,Gasoline,Automatic CVT,S,Front-wheel Drive,1
Ford,Explorer,43685.0,Gasoline,1-Speed Automatic,XLT,Rear-wheel Drive,1
Jeep,Wagoneer L,66770.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
RAM,ProMaster 1500,48822.0,Gasoline,9-Speed Automatic,Low Roof,Front-wheel Drive,1
Hyundai,Tucson Hybrid,37220.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,67164.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,1
Hyundai,Tucson Hybrid,37309.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,77314.0,Hybrid,8-Speed Automatic,Overland,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,70312.0,Hybrid,8-Speed Automatic,Overland,Four-wheel Drive,1
Jeep,Compass,36331.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,62343.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
RAM,3500,67446.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Hyundai,Tucson Hybrid,40835.0,Hybrid,Automatic,Limited,All-wheel Drive,1
Jeep,Gladiator,54620.0,Gasoline,Automatic,Sport,Four-wheel Drive,1
Jeep,Grand Cherokee L,59674.0,Gasoline,Automatic,Limited,Four-wheel Drive,1
RAM,2500,69315.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Mercedes-Benz,Sprinter 2500,59037.0,Diesel,9-Speed Automatic,Standard Roof,Rear-wheel Drive,1
Jeep,Wagoneer,69085.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Nissan,Murano,43495.0,Gasoline,Automatic,SV Intelligent AWD,All-wheel Drive,1
Chevrolet,Silverado 2500,48995.0,Gasoline,Automatic,WT,Rear-wheel Drive,1
